RATING;TITLE;SYSTEM;GENRE;YEAR;DEVELOPER;PUBLISHER;FRANCHISE;ENTRY NUMBER;REGION;TEXT;VOICE;FORM;MULTIPLAYER;INFO
;"12Riven: The Psi-Climinal of Integral";"Sony PSP";"Visual Novel";"2009";"KID";"Cyberfront";"Infinity";"Spinoff";"Japan";"Japanese";"Japanese";;"-";
;"7'scarlet";"Sony PS Vita";"Visual Novel";"2018";"Otomate";"Aksys Games";"-";;"Europe";;;;"-";
;"AI: The Somnium Files";"Windows";"Adventure";"2019";"Spike Chunsoft";"Spike Chunsoft";"-";"-";"Europe";"English";"Japanese";;"-";
;"AIR";"Sony PSP";"Visual Novel";"2007";"Key";"Prototype";"-";"-";"Japan";"Japanese";"Japanese";;"-";"Translation available"
;"AIR";"Nintendo Switch";"Visual Novel";"2021";"Key";;"-";"-";"Japan";"Japanese";"Japanese";;;"Translation available"
;"Again: Interactive Crime Novel";"Nintendo DS";"Adventure";"2010";"Cing";"Tecmo";"-";"-";"US";"English";;;;
;"Amnesia: Memories";"Sony PS Vita";"Visual Novel";"2015";"Idea Factory";"Idea Factory";"AMNEƧIA";;"Europe";;;;"-";
;"Another Code: R - A Journey into Lost Memories";"Nintendo Wii";"Adventure";"2009";"Cing";"Nintendo";"Another Code";"2";"Europe";"English";;;;
;"Another Code: Two Memories";"Nintendo DS";"Adventure";"2005";"Cing";"Nintendo";"Another Code";"1";"Europe";"English";;;;
;"Asura's Wrath";"Sony PS3";"Action";"2012";"CyberConnect2";"Capcom";"-";;"Europe";;;;"-";
;"Bayonetta";"Sony PS3";"Action";"2009";"PlatinumGames";"Sega";"Bayonetta";"1";"Europe";"English";"English";;;
;"CLANNAD";"Windows";"Visual Novel";"2004";"Key";"Sekai Project";"-";"-";"Europe";"English";"English";"Steam";"-";
;"CLANNAD";"Nintendo Switch";"Visual Novel";"2019";"Key";"PROTOTYPE";"-";"-";"Europe";"English";"Japanese";"-";"-";
;"CORPSE-PARTY";"NEC PC-9801";"Adventure";"1996";"Team GrisGris";"Kenix Soft";"Corpse Party";"1";"Japan";"Japanese";"Japanese";;"-";
;"Chaos Child";"Sony PS Vita";"Visual Novel";"2017";"5pb.";"PQube";"Science Adventure";"4";"Europe";"English";"Japanese";;"-";
;"Chaos Head";"Windows";"Visual Novel";"2008";"5pb.
Nitroplus";"Nitroplus";"Science Adventure";"1";"Japan";"Japanese";"Japanese";;"-";"Translation available"
;"Code: Realize Guardian of Rebirth";"Sony PS Vita";"Visual Novel";"2015";"Idea Factory";"Aksys Games";"-";;"Europe";;;;"-";
;"Collar X Malice";"Sony PS Vita";"Visual Novel";"2017";"Idea Factory";"Aksys Games";"-";;"Europe";;;;"-";
;"Corpse Party";"Sony PSP";"Adventure";"2011";"Team GrisGris";"XSEED Games";"Corpse Party";"1 (Remake 2)";"US";"English";"Japanese";;"-";
;"Corpse Party";"Nintendo Switch";"Adventure";"2021";"Team GrisGris";"Marvelous Europe";"Corpse Party";"1 (Remake 2)";"Europe";"English";"Japanese";;"-";
;"Corpse Party";"Windows";"Adventure";"2016";"Team GrisGris";"XSEED Games";"Corpse Party";"1 (Remake)";"Europe";"English";"Japanese";"Steam";"-";
;"Corpse Party (2021)";"Windows";"Adventure";"2021";"MAGES.";"XSEED Games";"Corpse Party";"1 (Remake 2)";"Europe";"English";"Japanese";"Steam";"-";
;"Corpse Party 2: Dead Patient";"Windows";"Adventure";"2019";"Grindhouse";"XSEED Games";"Corpse Party";"Spinoff";"Europe";"English";"Japanese";"Steam";"-";
;"Corpse Party: Back to School Edition";"Nintendo 3DS";"Adventure";"2016";"Team GrisGris";"XSEED Games";"Corpse Party";"1 (Remake 2)";"Europe";"English";"Japanese";;"-";
;"Corpse Party: Blood Covered ...Repeated Fear";"Nintendo Switch";"Adventure";"2021";"Team GrisGris";"MAGES.";"Corpse Party";"1 (Remake 2)";"Japan";"English";"Japanese";;;
;"Corpse Party: Blood Drive";"Sony PS Vita";"Adventure";"2015";"Team GrisGris";"XSEED Games";"Corpse Party";"3";"Europe";"English";"Japanese";;"-";
;"Corpse Party: Blood Drive";"Nintendo Switch";"Adventure";"2019";"Team GrisGris";"Marvelous Europe";"Corpse Party";"3 (Remake 2)";"Europe";"English";"Japanese";;"-";
;"Corpse Party: Blood Drive";"Windows";"Adventure";"2019";"MAGES. Inc., 5pb.";"XSEED Games";"Corpse Party";"3 (Rerelease)";"Europe";"English";"Japanese";"Steam";"-";
;"Corpse Party: Book of Shadows";"Sony PSP";"Adventure";"2013";"Team GrisGris";"XSEED Games";"Corpse Party";"2";"US";"English";"Japanese";;"-";
;"Corpse Party: Book of Shadows";"Windows";"Adventure";"2018";"MAGES. Inc., 5pb.";"XSEED Games";"Corpse Party";"2 (Rerelease)";"Europe";"English";"Japanese";;"-";
;"Danganronpa 2 Goodbye Despair";"Sony PS Vita";"Visual Novel";"2014";"Spike Chunsoft";"Spike Chunsoft";"Danganronpa";"2";"Europe";;;;"-";
;"Danganronpa Another Episode Ultra Despair Girls";"Sony PS Vita";"Visual Novel";"2015";"Spike Chunsoft";"Spike Chunsoft";"Danganronpa";"Spinoff";"Europe";;;;"-";
;"Danganronpa V3 Killing Harmony";"Sony PS Vita";"Visual Novel";"2017";"Spike Chunsoft";"Spike Chunsoft";"Danganronpa";"3";"Europe";;;;"-";
;"Danganronpa: Trigger Happy Havoc";"Sony PSP";"Visual Novel";"2010";"Spike";"Spike";"Danganronpa";"1";"Japan";"Japanese";"Japanese";;"-";"Translation available"
;"Danganronpa: Trigger Happy Havoc";"Sony PS Vita";"Visual Novel";"2014";"Spike Chunsoft";"Spike Chunsoft";"Danganronpa";"1 (Rerelease)";"Europe";;;;"-";
;"Disaster Report";"Sony PS2";"Survival";"2003";"Irem";"Agetec";"Zettai Zetsumei Toshi";"1";"Europe";"English";"English";"Physical";"-";"Undub available"
;"Disaster Report 4 Plus: Summer Memories";"Sony PS4";"Survival";"2020";"Granzella";"NIS America";"Zettai Zetsumei Toshi";"4";"Europe";"English";"Japanese";;"-";
;"Disaster Report 4 Plus: Summer Memories";"Nintendo Switch";"Survival";"2020";"Granzella";"NIS America";"Zettai Zetsumei Toshi";"4";"Europe";"English";"Japanese";;"-";
;"Disaster Report 4 Plus: Summer Memories";"Windows";"Survival";"2020";"Granzella";"NIS America";"Zettai Zetsumei Toshi";"4";"Europe";"English";"Japanese";;"-";
;"Ever17: The Out of Infinity";"Sony PSP";"Visual Novel";"2002";"KID";"Cyberfront";"Infinity";"2";"Japan";"Japanese";"Japanese";;"-";"Translation available"
;"Final Fantasy X HD Remaster";"Sony PS Vita";"RPG";"2013";"Square Enix
Virtuos";"Square Enix";"Final Fantasy";"10 (Remaster)";"Europe";"English";"English";"Physical & Digital";"-";"Undub available"
;"Final Fantasy X-2";"Sony PS2";"RPG";"2003";"Square Enix";"Square Enix";"Final Fantasy";"10-2";"US";"English";"English";;"-";"Undub available"
